SurveyCode,Year,Survey,SurveyRep,SampleDate,StationNZ,EZStation,DWRStationNo,Core,Region,Time,TowDuration,Depth,Secchi,Chl_a,Temperature,ECSurfacePreTow,ECBottomPreTow,Volume,AmphipodCode,A_aspera,A_hwanhaiensis,A_macropsis,D_holmquistae,H_longirostris,N_kadiakensis,N_mercedis,Unidentified_mysid,Mysid_Total,A_spinicorne,A_stimpsoni,A_abdita,Ampithoe_sp,Caprelidae_sp,C_alienense,Crangonyx_sp,G_daiberi,G_japonica,Hyalella_sp,Monocorophium_sp,Oedicerotidae_sp,Pleustidae,Unidentified_Amphipod,Unidentified_Corophium,Unidentified_Gammarus,Amphipod_Total
19720101,1972,1,1,1/10/1972,NZ078,NA,NA,0,SJR,,10,,62,,6.6,242,,42.15,,0.00,0.00,0.00,0.00,0.00,0.00,6.62,0.00,6.62,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ080,NA,NA,1,SJR,,10,,62,,6,228,,42.90,,0.00,0.00,0.00,0.00,0.00,0.00,4.48,0.00,4.48,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ082,NA,NA,0,SJR,,10,,60,,6,236,,41.96,,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,7.08,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ084,NA,NA,0,SJR,,10,,58,,6.1,226,,51.03,,0.00,0.00,0.00,0.00,0.00,0.00,8.52,0.00,8.52,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ086,NA,D26,1,SJR,,10,,60,,6,226,,28.92,,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ088,NA,NA,0,SJR,,10,,48,,6,385,,39.50,,0.00,0.00,0.00,0.00,0.00,0.00,7.09,0.00,7.09,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ090,NA,NA,0,EastDel,,10,,50,,6.2,484,,42.71,,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ092,NA,P8,1,EastDel,,10,,50,,6.1,463,,37.04,,0.00,0.00,0.00,0.00,0.00,0.00,12.96,0.00,12.96,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZ098,NA,NA,0,SoDel,,10,,30,,5.8,539,,44.04,,0.00,0.00,0.00,0.00,0.00,0.00,4.09,0.00,4.09,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZD14,NA,NA,0,SJR,,10,,60,,6.1,246,,36.86,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZD15,NA,NA,0,SJR,,10,,60,,6,224,,44.04,,0.00,0.00,0.00,0.00,0.00,0.00,3.32,0.00,3.32,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/10/1972,NZD28,NA,D28A,1,SoDel,,10,,40,,5.8,469,,40.46,,0.00,0.00,0.00,0.00,0.00,0.00,15.20,0.00,15.20,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ060,NA,D4,1,WestDel,,10,,62,,6.3,284,,32.51,,0.00,0.00,0.00,0.00,0.00,0.00,35.56,0.00,35.56,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ062,NA,NA,0,WestDel,,10,,61,,6,178,,43.28,,0.00,0.00,0.00,0.00,0.00,0.00,10.86,0.00,10.86,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ064,NA,D22,1,SacR,,10,,60,,5.9,154,,48.01,,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.00,2.54,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ066,NA,NA,0,SacR,,10,,69,,5.9,154,,45.17,,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ068,NA,NZ068,0,SacR,,10,,74,,5.9,152,,39.88,,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ072,NA,NA,0,SJR,,10,,63,,6.4,249,,30.24,,0.00,0.00,0.00,0.00,0.00,0.00,14.75,0.00,14.75,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ074,NA,D12,1,SJR,,10,,59,,6.3,236,,47.44,,0.00,0.00,0.00,0.00,0.00,0.00,10.96,0.00,10.96,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ076,NA,NA,0,SJR,,10,,58,,6.6,245,,34.78,,0.00,0.00,0.00,0.00,0.00,0.00,11.04,0.00,11.04,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZ104,NA,NA,0,SJR,,10,,60,,5.8,258,,40.64,,0.00,0.00,0.00,0.00,0.00,0.00,9.06,0.00,9.06,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZD11,NA,NA,0,WestDel,,10,,65,,6.3,198,,43.47,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/11/1972,NZD19,NA,D19,0,SoDel,,10,,61,,5.8,266,,40.07,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
19720101,1972,1,1,1/12/1972,NZ020,NA,NA,0,SuiBay,,10,,63,,6.6,14688,,41.20,,0.00,0.00,0.00,0.00,0.00,0.00,3.01,0.00,3.01,,,,,,,,,,,,,,,,,
